activ,rtype,depth,high,shgt,usedhgt,weight,usedwgt,slottype,link,serial,mixbatch,mixitems,noalloc,frzstock,radionum,width,wide,usedwidth,check_num,pltperpos,oldslot,autoreleas,mixitemmov,fznomove,movetoslot,desc,item,sdepth,usedvol,svolume,isrecvbay,usedeffrz,deffrzcode,loccode,aisle,bay,level,position,loccodemt,aislemt,baymt,levelmt,positionmt,ispickslot,area,okpickslot,multiitmpk,hostloc,replenmeth,mixuseby,chargegrp,stkcfgmvfr,okstkcfgmv,cycitmacc,category,addsltocyc,counttimes,canmvfrz,donotpick,lstcounted
Y,1,1,1,1500,193,1000,39.41,R, ,0, , ,F, ,,1210,1,1310,96,F,01231B,F, ,F,,,,1210,2.1504,2.808,F, ,,  R, II,23, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,816,1000,285,R, ,0, , ,F, ,,1210,1,1310,54,F,01231C,F, ,F,,,,1210,0.81151,2.808,F, ,,  R, II,23, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,47,F,01232B,F, ,F,,,,1210,1.23582,2.808,F, ,,  R, II,23, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,586,1000,172.7,R, ,0, , ,F, ,,1210,1,1310,2,F,01232C,F, ,F,,,,1210,1.16813,2.808,F, ,,  R, II,23, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,315,1000,75,R, ,0, , ,F, ,,1210,1,1310,3,F,01271B,F, ,F,,,,1210,0.08925,2.808,F, ,,  R, II,27, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,84,F,01271C,F, ,F,,,,1210,0.23068,2.808,F, ,,  R, II,27, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,560,1000,148.8,R, ,0, , ,F, ,,1210,1,1310,39,F,01272B,F, ,F,,,,1210,1.14016,2.808,F, ,,  R, II,27, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,629,1000,162.15,R, ,0, , ,F, ,,1210,1,1310,93,F,01272C,F, ,F,,,,1210,0.1936,2.808,F, ,,  R, II,27, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,399,1000,82.944,R, ,0, , ,F, ,,1210,1,1310,59,F,01291B,F, ,F,,,,1210,1.14016,2.808,F, ,,  R, II,29, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,430,1000,138,R, ,0, , ,F, ,,1210,1,1310,82,F,01291C,F, ,F,,,,1210,0.66066,2.808,F, ,,  R, II,29, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,684,1000,135,R, ,0, , ,F, ,,1210,1,1310,75,F,01292B,F, ,F,,,,1210,0.99008,2.808,F, ,,  R, II,29, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,169,1000,55.2,R, ,0, , ,F, ,,1210,1,1310,91,F,01292C,F, ,F,,,,1210,0.81918,2.808,F, ,,  R, II,29, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,773,1000,248.4,R, ,0, , ,F, ,,1210,1,1310,55,F,01311B,F, ,F,,,,1210,1.18973,2.808,F, ,,  R, II,31, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
