item,des,externalid,owner,hits,units,aveunitday,cases,pallets,cube,unitpcase,dayshit,physqty,contnum,familycode,ti,hi,majgroup,mingroup,catagory,loccode,aisle,bay,level,position
"       48758","Eco Eden Ribbed Navy Placemat","       48758","LAD",8,12,2.000,0.167,0.007,0.040340,72,6,27.000,"","",6,4,"KD","008","","  R"," EE"," 23"," 1"," 1"
"       48758","Eco Eden Ribbed Navy Placemat","       48758","LAD",3,6,3.000,0.083,0.003,0.029100,72,2,27.000,"","",6,4,"KD","008","","  R"," II"," 27"," B"," 1"
"       48759","Eco Eden Ribbed Navy Runner","       48759","LAD",5,3,0.750,0.125,0.005,0.021400,24,4,103.000,"","",6,4,"KD","008","","  R"," EE"," 23"," 1"," 2"
"       48762","Eco Eden Ribbed Zest Placemat","       48762","LAD",2,4,2.000,0.056,0.002,0.002820,72,2,400.000,"","",6,4,"KD","008","","  R"," HH"," 40"," 3","12"
"       48762","Eco Eden Ribbed Zest Placemat","       48762","LAD",6,12,2.400,0.167,0.007,0.037520,72,5,400.000,"","",6,4,"KD","008","","  R"," EE"," 23"," 1"," 5"
"       48763","Eco Eden Ribbed Zest Runner","       48763","LAD",3,3,1.000,0.125,0.005,0.011210,24,3,158.000,"","",6,4,"KD","008","","  R"," CC"," 21"," 2"," 5"
"       48764","Eco Eden Ribbed Sage Placemat","       48764","LAD",9,12,1.714,0.167,0.007,0.051590,72,7,260.000,"","",6,4,"KD","008","","  R"," EE"," 23"," 1"," 6"
"       48765","Eco Eden Ribbed Sage Runner","       48765","LAD",6,3,0.600,0.125,0.005,0.027020,24,5,116.000,"","",6,4,"KD","008","","  R"," EE"," 23"," 2"," 4"
"       48765","Eco Eden Ribbed Sage Runner","       48765","LAD",1,2,2.000,0.083,0.003,0.002650,24,1,116.000,"","",6,4,"KD","008","","  R"," FF"," 19"," B"," 1"
"       48765","Eco Eden Ribbed Sage Runner","       48765","LAD",2,1,1.000,0.042,0.002,0.031320,24,1,116.000,"","",6,4,"KD","008","","  R"," II","  6"," C"," 1"
"       48769","Amore Peaches 3pk Stretch Bowl Co","       48769","LAD",1,4,4.000,0.167,0.007,0.005600,24,1,295.000,"","",6,4,"KD","018","","  R"," EE"," 34"," 3"," 2"
"       48769","Amore Peaches 3pk Stretch Bowl Co","       48769","LAD",1,1,1.000,0.042,0.002,0.001800,24,1,295.000,"","",6,4,"KD","018","","  R"," HH"," 45"," 5","15"
"       48770","Lemony 3pk Stretch Bowl Covers","       48770","LAD",4,4,1.000,0.167,0.007,0.033600,24,4,38.000,"","",6,4,"KD","018","","  R"," EE"," 34"," 3"," 6"
"       48770","Lemony 3pk Stretch Bowl Covers","       48770","LAD",3,1,0.333,0.042,0.002,0.009000,24,3,38.000,"","",6,4,"KD","018","","  R"," HH"," 40"," 3"," 4"
"       48771","Marbella Tile 3pk Stretch Bowl Co","       48771","LAD",2,20,10.000,0.833,0.035,0.044800,24,2,28.000,"","",6,4,"KD","018","","  R"," EE"," 34"," 3"," 4"
"       48838","REPOSE 2PK POT HOLDER","","LAD",14,6,0.667,0.100,0.004,0.056900,60,9,100.000,"","",6,4,"","","","  R"," DD"," 29"," 2"," 2"
"       48839","REPOSE 2PK OVEN MITT","","LAD",16,6,0.600,0.100,0.004,0.241740,60,10,18.000,"","",6,4,"","","","  R"," DD"," 30"," 1"," 6"
"       48840","REPOSE DOUBLE OVEN MITT","","LAD",7,6,1.500,0.100,0.004,0.158880,60,4,0.000,"","",6,4,"","","","  R"," DD"," 30"," 2"," 5"
"       48841","REPOSE APRON","","LAD",20,4,0.364,0.067,0.003,0.186900,60,11,32.000,"","",6,4,"","","","  R"," DD"," 27"," 2"," 4"
"       48842","INTRINSIC 2PK POT HOLDER","","LAD",11,6,1.200,0.100,0.004,0.044760,60,5,419.000,"","",6,4,"","","","  R"," DD"," 41"," 2"," 2"
"       48843","INTRINSIC 2PK OVEN MITT","","LAD",11,6,1.200,0.100,0.004,0.155030,60,5,359.000,"","",6,4,"","","","  R"," DD"," 41"," 2"," 6"
"       48844","INTRINSIC DOUBLE OVEN MITT","","LAD",9,6,2.000,0.100,0.004,0.105120,60,3,156.000,"","",6,4,"","","","  R"," DD"," 41"," 3"," 3"
"       48845","INTRINSIC APRON","","LAD",21,4,0.400,0.067,0.003,0.104320,60,10,239.000,"","",6,4,"","","","  R"," DD"," 41"," 4"," 2"
"       48850","REPOSE GREEN CHECK 3PK STRETCH BO","","LAD",5,12,3.000,0.500,0.021,0.031840,24,4,202.000,"","",6,4,"","","","  R"," GG"," 43"," 2"," 2"
"       48851","REPOSE NAVY FLOWERS 3PK STRETCH B","","LAD",9,12,1.500,0.500,0.021,0.059130,24,8,40.000,"","",6,4,"","","","  R"," DD"," 28"," 2"," 1"
"       48852","INTRINSIC GREEN LEAF 3PK STRETCH","","LAD",4,8,2.000,0.333,0.014,0.022740,24,4,91.000,"","",6,4,"","","","  R"," GG"," 34"," 3"," 7"
"       48853","INTRINSIC TAUPE AZTEC 3PK STRETCH","","LAD",3,4,1.333,0.167,0.007,0.013650,24,3,356.000,"","",6,4,"","","","  R"," GG"," 30"," 3"," 9"
"       48859","ECO RECYCLED GREEN 1.5MX2.25M TAB","","LAD",1,2,2.000,0.167,0.007,0.009940,12,1,76.000,"","",6,4,"","","","  R"," EE"," 28"," 2"," 3"
"       48860","ECO RECYCLED GREEN 1.5MX2.65M TAB","","LAD",3,2,0.667,0.167,0.007,0.033540,12,3,58.000,"","",6,4,"","","","  R"," EE"," 28"," 2"," 4"
"       48860","ECO RECYCLED GREEN 1.5MX2.65M TAB","","LAD",1,1,1.000,0.083,0.003,0.005590,12,1,58.000,"","",6,4,"","","","  R"," NN"," 36"," B"," 2"
"       48861","ECO RECYCLED GREEN 1.5MX3M TABLEC","","LAD",2,2,1.000,0.167,0.007,0.022360,12,2,108.000,"","",6,4,"","","","  R"," EE"," 28"," 2"," 5"
"       48862","ECO RECYCLED NAVY 1.5MX2.25M TABL","","LAD",1,2,2.000,0.167,0.007,0.009940,12,1,86.000,"","",6,4,"","","","  R"," EE"," 28"," 2"," 6"
