ITEMID],[ITEMBARCODE],[QTY],[InnerBarcode],[InnerQty],[OuterBarcode],[OuterQty],[PalletBarcode],[PalletQty],[BCItemType],[BCInnerType],[BCOuterType],[BCPalletType],[InnerPfx],[OuterPfx],[PalletPfx],[MODIFIEDBY],[MODIFIEDDATETIME],[InnerModBy],[InnerModDT],[OuterModBy],[OuterModDT],[PalletModBy],[PalletModDT],[UnitTypItm],[UnitTypInnr],[UnitTypOutr],[UnitTypPllt],[ItemIDTyp],[ItemBCCfg],[InnerBCConfig],[OuterBCConfig],[PalletBCConfig],[DataAreaID],[ItemHeight],[ItemWidth],[ItemDepth],[ItemWeight],[InnerHeight],[InnerWidth],[InnerDepth],[InnerWeight],[OuterHeight],[OuterWidth],[OuterDepth],[OuterWeight],[PalletHeight],[PalletWidth],[PalletDepth],[PalletWeight],[InnerWMSQty],[OuterWMSQty],[PalletWMSQty],[INVENTDIMID],[Status]
48739,9314689889681,1.000000000000,19314689889688,3.000000000000,29314689889685,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,60,70,340,300,60,220,340,900,250,370,460,8300,0,0,0,0,3.000000000000,24.000000000000,1.000000000000,AllBlank,DeadSeason
48739/02,9314689889698,1.000000000000,19314689889695,0.000000000000,29314689889692,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 06:58:19.000,SY,2020-05-13 06:58:19.000,SY,2020-05-13 06:58:19.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48740,9314689890786,1.000000000000,19314689890783,6.000000000000,29314689890780,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,20,210,210,130,120,210,210,800,340,460,460,9100,0,0,0,0,6.000000000000,60.000000000000,1.000000000000,AllBlank,Seasonal
48741,9314689890809,1.000000000000,19314689890806,6.000000000000,29314689890803,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,40,180,330,230,120,360,330,1380,600,360,790,15300,0,0,0,0,6.000000000000,60.000000000000,1.000000000000,AllBlank,Seasonal
48741/02,9314689890816,1.000000000000,19314689890813,6.000000000000,29314689890810,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,40,180,330,230,120,360,330,1380,600,360,790,15300,0,0,0,0,6.000000000000,60.000000000000,1.000000000000,AllBlank,Seasonal
48722,9314689888608,1.000000000000,19314689888605,6.000000000000,29314689888602,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,20,175,445,235,145,175,445,1440,400,470,750,15600,0,0,0,0,6.000000000000,60.000000000000,1.000000000000,AllBlank,DeadSeason
48722/02,9314689888615,1.000000000000,19314689888612,6.000000000000,29314689888619,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-06-16 22:57:15.000,SY,2020-06-16 22:57:15.000,SY,2020-06-16 22:57:16.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,30,250,250,110,170,250,250,700,390,490,500,8050,0,0,0,0,6.000000000000,60.000000000000,1.000000000000,AllBlank,DeadSeason
48723/02,9314689888639,1.000000000000,19314689888636,4.000000000000,29314689888633,60.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-06-16 22:57:15.000,SY,2020-06-16 22:57:15.000,SY,2020-06-16 22:57:16.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,40,180,350,230,140,350,370,1350,660,380,810,15300,0,0,0,0,4.000000000000,60.000000000000,1.000000000000,AllBlank,DeadSeason
48724,9314689888684,1.000000000000,19314689888681,0.000000000000,29314689888688,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 05:14:00.000,SY,2020-05-13 05:14:00.000,SY,2020-05-13 05:14:00.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48724/02,9314689888691,1.000000000000,19314689888698,0.000000000000,29314689888695,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 05:14:19.000,SY,2020-05-13 05:14:19.000,SY,2020-05-13 05:14:19.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48725,9314689888707,1.000000000000,19314689888704,0.000000000000,29314689888701,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 05:14:39.000,SY,2020-05-13 05:14:39.000,SY,2020-05-13 05:14:39.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
48677/04,9314689879729,1.000000000000,19314689879726,6.000000000000,29314689879723,144.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:20.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,3,330,460,65,15,330,460,390,260,370,510,10200,0,0,0,0,6.000000000000,144.000000000000,1.000000000000,AllBlank,Seasonal
48678/04,9314689879736,1.000000000000,19314689879733,3.000000000000,29314689879730,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:20.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,3,330,380,238,30,330,380,714,200,370,470,6600,0,0,0,0,3.000000000000,24.000000000000,1.000000000000,AllBlank,Seasonal
48679/04,9314689879743,1.000000000000,19314689879740,6.000000000000,29314689879747,144.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,Admin,2020-02-27 21:46:52.000,Admin,2020-02-27 21:46:52.000,Admin,2020-02-27 21:46:52.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,3,230,360,75,26,230,360,910,120,480,370,4440,0,0,0,0,6.000000000000,144.000000000000,1.000000000000,AllBlank,Seasonal
48680/04,9314689879750,1.000000000000,19314689879757,3.000000000000,29314689879754,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:20.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,10,330,380,250,30,330,380,750,240,370,470,7000,0,0,0,0,3.000000000000,24.000000000000,1.000000000000,AllBlank,Seasonal
48681/04,9314689879767,1.000000000000,19314689879764,6.000000000000,29314689879761,144.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,Admin,2020-02-27 21:46:52.000,Admin,2020-02-27 21:46:52.000,Admin,2020-02-27 21:46:52.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,3,230,360,75,26,230,360,910,120,480,370,4440,0,0,0,0,6.000000000000,144.000000000000,1.000000000000,AllBlank,Seasonal
48682/04,9314689879774,1.000000000000,19314689879771,3.000000000000,29314689879778,24.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:21.000,SY,2020-09-09 05:23:22.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,10,330,380,250,30,330,380,750,240,370,470,7000,0,0,0,0,3.000000000000,24.000000000000,1.000000000000,AllBlank,Seasonal
48753,9314689891103,1.000000000000,19314689891100,0.000000000000,29314689891107,0.000000000000,,-1.000000000000,EAN13,EAN14,EAN14,NA,1,2,X,SY,2020-05-13 09:53:36.000,SY,2020-05-13 09:53:36.000,SY,2020-05-13 09:53:36.000,NULL,NULL,0,1,2,NULL,99,OK,OK,OK,NULL,STD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000,0.000000000000,1.000000000000,AllBlank,NewItem
